latitude	longitude	cp_id_str	Power_kW	connector_id	session_count
55.84564	-4.252705	53174	7	1.0	10
55.84564	-4.252705	53174	7	2.0	4
55.84564	-4.252705	53175	7	1.0	46
55.84564	-4.252705	53175	7	2.0	40
55.84564	-4.252705	53176	7	1.0	34
55.84564	-4.252705	53176	7	2.0	36
55.846119	-4.324012	50537	22	1.0	220
55.846119	-4.324012	50537	22	2.0	228
55.846216	-4.220534	52094	22	1.0	80
55.846216	-4.220534	52094	22	2.0	92
55.846624	-4.153657	52091	7	1.0	130
55.846624	-4.153657	52091	7	2.0	38
55.846906	-4.240989	52242	22	1.0	94
55.846906	-4.240989	52242	22	2.0	136
55.847816	-4.242831	52240	22	1.0	80
55.847816	-4.242831	52240	22	2.0	22
55.847816	-4.242831	52241	7	1.0	12
55.847816	-4.242831	52241	7	2.0	8
55.847816	-4.242831	53609	22	2.0	28
55.84839	-4.250772	52239	7	1.0	114
55.84839	-4.250772	52239	7	2.0	70
55.849995	-4.275372	50685	43	1.0	14
55.849995	-4.275372	50685	43	2.0	42
55.849995	-4.275372	50685	44	1.0	7
55.849995	-4.275372	50685	44	2.0	21
55.85194	-4.295457	52733	7	1.0	98
55.85194	-4.295457	52733	7	2.0	144
55.852223	-4.261762	52117	22	1.0	94
55.852223	-4.261762	52117	22	2.0	50
55.852223	-4.261762	52118	22	1.0	132
55.852223	-4.261762	52118	22	2.0	36
55.853421	-4.221696	52079	22	1.0	52
55.853421	-4.221696	52079	22	2.0	90
55.853421	-4.221696	52080	22	1.0	60
55.853421	-4.221696	52080	22	2.0	72
55.853421	-4.221696	52081	22	1.0	54
55.853421	-4.221696	52081	22	2.0	70
55.853665	-4.256685	51237	22	1.0	60
55.853665	-4.256685	51237	22	2.0	56
55.857193	-4.133006	60075	7	1.0	120
55.857193	-4.133006	60075	7	2.0	118
55.857193	-4.133006	60076	7	1.0	134
55.857193	-4.133006	60076	7	2.0	78
55.857193	-4.133006	60077	7	1.0	138
55.857193	-4.133006	60077	7	2.0	122
55.858316	-4.243132	52923	22	1.0	48
55.858316	-4.243132	52923	22	2.0	78
55.85874	-4.10687	60868	7	1.0	12
55.85874	-4.10687	60868	7	2.0	14
55.859004	-4.281939	52082	22	1.0	32
55.859004	-4.281939	52082	22	2.0	46
55.859004	-4.281939	52083	22	1.0	54
55.859004	-4.281939	52083	22	2.0	86
55.859437	-4.246249	52924	7	1.0	80
55.859437	-4.246249	52924	7	2.0	50
55.859526	-4.235452	50402	22	1.0	30
55.859526	-4.235452	50402	22	2.0	34
55.859526	-4.235452	50403	22	1.0	26
55.859526	-4.235452	50403	22	2.0	28
55.859526	-4.235452	50408	22	1.0	34
55.859526	-4.235452	50408	22	2.0	40
55.859526	-4.235452	50415	22	1.0	38
55.859526	-4.235452	50415	22	2.0	26
55.859526	-4.235452	51240	43	1.0	8
55.859526	-4.235452	51240	43	2.0	6
55.859526	-4.235452	51240	43	3.0	1
55.859526	-4.235452	51240	50	1.0	16
55.859526	-4.235452	51240	50	2.0	12
